ID,POSITION,NAME,ALLIANCE,POWER,HIGHEST_POWER,KP,DEATHS,RSS_ASSIST,T4_KILLS,T5_KILLS,TIMESTAMP
153836735,1,ᵀᴱAlfyx,[1/TE]Twilight~Errant,317.27M,330.63M,1.6238B,16.317M,43.673B,123.8M,17.813M,2023-09-10 15:58:56.150518
4852411,2,ᵀᴱ Bank,[1/TE]Twilight~Errant,83.726M,101.58M,3.8818B,18.006M,8.7651B,228.06M,77.396M,2023-09-10 15:59:14.644020
16447927,3,ᵀᴱBaPяГ,#error#,78.174M,78.174M,419.63M,8.5703M,4.6694B,23.232M,9.0227M,2023-09-10 15:59:33.484382
147494688,4,ᴼᴹ Tya,[OM/1]OGAH MUNDURR,67.809M,70.016M,118.13M,1.5206M,271.89M,9.605M,977.07K,2023-09-10 15:59:51.759353
21653214,5,ᵀᴱAńuBÎs㋳,[1/TE]Twilight~Errant,62.433M,78.624M,2.1636B,15.692M,19.018B,115.39M,46.969M,2023-09-10 16:00:10.219146
76618024,6,Arthur XV,[OM/1]OGAH MUNDURR,63.749M,69.635M,736.4M,6.7111M,55.084B,50.255M,9.3825M,2023-09-10 16:00:28.564867
10064802,7,IIMHMT2,[1/TE]Twilight~Errant,62.277M,92.739M,4.9183B,21.872M,23.917B,254.77M,116.48M,2023-09-10 16:00:47.091241
1208539,8,么Mentalistic,[1/TE]Twilight~Errant,61.891M,72.113M,2.3328B,23.597M,18.922B,138.79M,41.812M,2023-09-10 16:01:05.049157
128464126,9,ᵀᴱ NVT DPM,[1/TE]Twilight~Errant,61.949M,63.593M,599.15M,2.6737M,632.39M,36.382M,11.233M,2023-09-10 16:01:23.430175
23617798,10,ᵀᴱ FaĆa,[1/TE]Twilight~Errant,61.538M,87.909M,1.6029B,22.172M,6.0655B,100.03M,26.26M,2023-09-10 16:01:42.093090
110544014,11,ᵀᴱBZRP,[1/TE]Twilight~Errant,60.68M,75.822M,681.53M,4.4406M,1.5736B,39.406M,13.952M,2023-09-10 16:02:30.229605
5013459,12,Lady 공주ʚĩɞ,[1/TE]Twilight~Errant,61.17M,80.492M,3.6467B,19.74M,19.424B,226.79M,65.952M,2023-09-10 16:02:51.874650
43752815,13,义Sir Alaa2义,[1/TE]Twilight~Errant,60.101M,88.108M,1.6244B,17.913M,7.1143B,67.073M,46.173M,2023-09-10 16:03:13.100942
68694285,14,ᵀᴱdeaveman,[1/TE]Twilight~Errant,59.024M,69.148M,392.47M,14.955M,374.44M,24.877M,6.0576M,2023-09-10 16:03:34.521049
41885448,15,K V H,[1/TE]Twilight~Errant,59.444M,73.64M,586.52M,6.824M,3.2654B,34.026M,10.379M,2023-09-10 16:03:56.174491
125634624,16,ᵀᴱKHATHUHAI,[1/TE]Twilight~Errant,59.111M,65.82M,1.2702B,6.0838M,1.9438B,91.481M,15.24M,2023-09-10 16:04:17.736313
