ID,POSITION,NAME,ALLIANCE,POWER,HIGHEST_POWER,KP,DEATHS,RSS_ASSIST,T4_KILLS,T5_KILLS,TIMESTAMP
147337281,1,Lancelot Viking,[CSK~]Crimson Knights,114.77M,114.77M,496.79M,3.187M,513.05M,36.045M,5.1245M,2023-09-11 12:44:20.527309
107480621,2,ᴱᴹ shïsuï,[CSK~]Crimson Knights,93.945M,101.03M,2.9036B,16.367M,18.543B,157.23M,64.055M,2023-09-11 12:44:47.099751
86685306,3,ïᴛᴀᴄʜɪ,[CSK~]Crimson Knights,90.569M,90.569M,936.23M,6.1844M,8.2631B,39.461M,26.358M,2023-09-11 12:45:13.361177
1885217,4,メTHE FISHTACOSメ,[CSK~]Crimson Knights,87.807M,120.06M,3.104B,17.542M,12.793B,140.01M,83.422M,2023-09-11 12:45:39.696183
107786939,5,JUAN ICS,[CSK~]Crimson Knights,83.179M,83.179M,935.5M,6.3474M,6.8849B,52.203M,20.152M,2023-09-11 12:46:05.642551
8145136,6,你的BigChito,[CSK~]Crimson Knights,80.637M,99.507M,3.9913B,25.169M,30.065B,162.1M,116.73M,2023-09-11 12:46:31.840146
22145196,7,Kellyah,[CSK~]Crimson Knights,77.857M,77.857M,1.1078B,5.6508M,1.036B,83.907M,12.76M,2023-09-11 12:46:58.376210
2022997,8,ᶜˢᵏLilith,[CSK~]Crimson Knights,76.652M,87.645M,1.1485B,14.672M,14.468B,32.624M,40.814M,2023-09-11 12:47:24.519957
58149809,9,乂LUCKAS乂,[CSK~]Crimson Knights,76.517M,76.67M,594.3M,7.0036M,3.8152B,32.371M,13.176M,2023-09-11 12:47:51.231754
41955723,10,COƦONEƦ,[CSK~]Crimson Knights,72.56M,78.254M,1.0052B,9.8386M,5.4771B,67.519M,14.741M,2023-09-11 12:48:18.384029
147345286,11,ᴹ Chunshik,[CSK~]Crimson Knights,71.913M,71.926M,239.58M,2.7167M,472.48M,19.699M,1.5542M,2023-09-11 12:48:44.265050
109645304,12,iGreatnes,[CSK~]Crimson Knights,69.532M,80.359M,506.21M,5.6781M,13.232B,31.176M,8.714M,2023-09-11 12:49:10.528213
63446097,13,JOSEPY,[CSK~]Crimson Knights,69.077M,69.086M,1.023B,14.122M,8.4456B,62.335M,18.125M,2023-09-11 12:49:38.427651
120487056,14,㌣ King Norway,[CSK~]Crimson Knights,67.881M,67.882M,1.2372B,6.0584M,4.9736B,86.104M,16.324M,2023-09-11 12:50:03.471103
121156665,15,义 Bính 义,[CSK~]Crimson Knights,66.662M,66.662M,462.47M,3.6127M,4.1669B,34.365M,5.2051M,2023-09-11 12:50:29.286142
15520940,16,ᶜˢᵏGarp,[CSK~]Crimson Knights,66.152M,81.832M,2.0038B,15.93M,8.4594B,97.797M,49.393M,2023-09-11 12:50:54.262090
34272306,17,General Kaneki,[CSK~]Crimson Knights,65.825M,65.825M,970.25M,12.498M,7.1215B,64.624M,13.588M,2023-09-11 12:51:19.439964
146420256,18,义 Kirito 义,[CSK~]Crimson Knights,62.38M,62.381M,391.65M,1.811M,1.29B,28.531M,4.4119M,2023-09-11 12:51:44.846599
146487637,19,Otto楤楤,[CSK~]Crimson Knights,62.053M,62.053M,496.85M,3.2051M,2.6663B,33.58M,3.6568M,2023-09-11 12:52:09.738192
33432933,20,ᶜˢᵏJazzy,[CSK~]Crimson Knights,58.978M,60.214M,198.85M,1.2165M,698.3M,10.746M,4.482M,2023-09-11 12:52:38.514884
119131022,21,ﾒJESHID,[CSK~]Crimson Knights,57.696M,57.701M,730.31M,4.7278M,2.6385B,56.128M,7.1478M,2023-09-11 12:53:03.082718
122772650,22,OSMANLl TOKADl,[CSK~]Crimson Knights,54.272M,54.272M,932.28M,5.0824M,1.0737B,71.22M,8.6729M,2023-09-11 12:53:28.344744
107415504,23,Be Carot,[CSK~]Crimson Knights,52.658M,52.665M,915.71M,4.9581M,948.06M,68.488M,7.9877M,2023-09-11 12:53:53.891051
124939385,24,Chloe Farm10,[CSK~]Crimson Knights,48.468M,48.468M,548.28M,4.7711M,960.48M,39.957M,5.8461M,2023-09-11 12:54:20.374203
140400116,25,PsyBob44,[CSK~]Crimson Knights,47.82M,47.82M,78.83M,1.6841M,34.226M,4.9M,1.4268M,2023-09-11 12:54:47.499494
128544485,26,Kazakh KWS,[CSK~]Crimson Knights,46.788M,46.788M,815.56M,6.3997M,1.963B,67.43M,3.1923M,2023-09-11 12:55:14.193773
124314716,27,LibertarianArmy,[CSK~]Crimson Knights,46.455M,46.455M,935.6M,5.436M,5.4737B,75.468M,6.4176M,2023-09-11 12:55:40.278005
57376833,28,Queen Hit on me,[CSK~]Crimson Knights,45.521M,51.147M,512.74M,9.2315M,1.7919B,30.376M,9.7071M,2023-09-11 12:56:07.103689
134638747,29,JHON ES,[CSK~]Crimson Knights,45.115M,45.115M,100.17M,3.9315M,168.54M,7.8782M,729.37K,2023-09-11 12:56:32.778674
129642140,30,Yến Albert,[CSK~]Crimson Knights,44.598M,44.598M,298.51M,2.8853M,497.15M,20.866M,3.7768M,2023-09-11 12:56:58.847355
141538555,31,ᶠᵉˣTrejo,[CSK~]Crimson Knights,43.946M,43.946M,131.01M,1.3848M,676.23M,9.1195M,1.4766M,2023-09-11 12:57:23.733815
127631787,32,Hussein Ali,[CSK~]Crimson Knights,43.042M,43.042M,222.66M,3.1126M,3.3185B,14.116M,2.9718M,2023-09-11 12:57:49.088217
147430556,33,Slitherys,[CSK~]Crimson Knights,42.061M,42.061M,159.38M,2.321M,357.31M,11.662M,1.6431M,2023-09-11 12:58:14.779842
147063218,34,MarkisRM,#error#,42.033M,42.033M,19.452M,1.6272M,217.26M,1.166M,311K,2023-09-11 12:58:39.882734
147377264,35,Maple castle,[CSK~]Crimson Knights,38.667M,38.667M,38.479M,1.0201M,68.62M,2.7924M,364.66K,2023-09-11 12:59:05.031073
146715202,36,MagX,[CSK~]Crimson Knights,38.212M,38.212M,68.689M,651.81K,180.72M,5.287M,567.15K,2023-09-11 12:59:30.560067
144144115,37,ŘimurU Tempest,[CSK~]Crimson Knights,37.145M,37.146M,54.515M,531.45K,108.2M,4.2604M,520.85K,2023-09-11 12:59:55.466100
147423828,38,ᴳᵀFodas,[CSK~]Crimson Knights,36.843M,36.855M,38.388M,1.1239M,43.254M,2.9266M,313.58K,2023-09-11 13:00:20.924866
123093696,39,ᴮᴼBolterOne,[CSK~]Crimson Knights,36.317M,36.323M,164.27M,4.7517M,907.92M,11.885M,1.3714M,2023-09-11 13:00:47.768422
146634827,40,㌣ Xoàiiii,[CSK~]Crimson Knights,35.867M,35.867M,121.77M,398.25K,438.31M,7.4967M,415.54K,2023-09-11 13:01:13.331847
147430938,41,Memph1ss,[CSK~]Crimson Knights,34.983M,34.983M,22.369M,225.18K,0,1.6357M,193.04K,2023-09-11 13:01:39.880953
142288889,42,BloodG,[CSK~]Crimson Knights,34.637M,34.637M,60.001M,1.97M,293.85M,4.155M,543.44K,2023-09-11 13:02:05.829277
146986953,43,PhHuy,[CSK~]Crimson Knights,34.645M,34.648M,68.473M,1.1254M,12.841M,5.2929M,463.13K,2023-09-11 13:02:31.455751
142994841,44,۞SmileyBeast۞,[CSK~]Crimson Knights,34.518M,34.533M,49.169M,825.04K,358.96M,3.1163M,665.08K,2023-09-11 13:02:56.930721
147415506,45,KubaKa,[CSK~]Crimson Knights,34.398M,34.401M,14.92M,247.11K,7.4237M,1.074M,148.25K,2023-09-11 13:03:22.288998
147439419,46,Cow001,[CSK~]Crimson Knights,34.291M,34.291M,11.59M,212.87K,5M,880.37K,128.12K,2023-09-11 13:03:47.748684
147099819,47,ᵂᴬᴿLửng,[CSK~]Crimson Knights,34.231M,34.231M,199.23M,1.2772M,491.04M,15.137M,1.1807M,2023-09-11 13:04:12.730629
147377258,48,Hparan,[CSK~]Crimson Knights,34.15M,34.152M,32.622M,303.23K,0,2.5527M,263.1K,2023-09-11 13:04:38.309797
147328111,49,HORASッ,[CSK~]Crimson Knights,33.775M,33.777M,45.73M,903.75K,110.73M,3.5896M,308.72K,2023-09-11 13:05:03.408809
147396096,50,Woles Ae Bro,[CSK~]Crimson Knights,33.755M,33.765M,29.946M,517.22K,127.32M,2.023M,141.16K,2023-09-11 13:05:28.544038
147421059,51,ˢᴺᴷVararo,[CSK~]Crimson Knights,33.598M,33.606M,56.214M,618.04K,91.863M,4.3825M,391.28K,2023-09-11 13:05:54.485939
142272915,52,1000101,[CSK~]Crimson Knights,33.579M,33.58M,63.746M,1.3213M,88.85M,4.8392M,408.6K,2023-09-11 13:06:19.406508
146392564,53,メSend Nudesメ,[CSK~]Crimson Knights,33.517M,33.519M,91.058M,1.0569M,1.265M,5.4517M,272.24K,2023-09-11 13:06:44.720221
147088869,54,Anjumara,[CSK~]Crimson Knights,33.486M,33.493M,27.108M,2.4129M,17.92M,1.6576M,342.58K,2023-09-11 13:07:09.716906
146509002,55,Bi glouche,[CSK~]Crimson Knights,33.386M,33.386M,60.95M,715.42K,1.97M,4.8834M,439.83K,2023-09-11 13:07:35.087418
146526579,56,BảoNamᵛᶰ,[CSK~]Crimson Knights,33.093M,33.093M,78.66M,900.15K,27.32M,5.865M,483.26K,2023-09-11 13:08:00.832123
147030080,57,TECHF,[CSK~]Crimson Knights,33.049M,33.062M,73.787M,315.4K,329.05M,4.7127M,222.27K,2023-09-11 13:08:25.578172
146886480,58,ᴳᵀArt,[CSK~]Crimson Knights,32.88M,32.883M,54.354M,652.83K,5.5035M,3.6491M,288.61K,2023-09-11 13:08:50.237140
144489472,59,IMHaRi,[CSK~]Crimson Knights,32.618M,32.618M,46.539M,763.55K,207.65M,3.1366M,133.51K,2023-09-11 13:09:15.364992
146630446,60,Dâu,[CSK~]Crimson Knights,32.533M,32.533M,54.923M,934.93K,761.64M,3.9655M,599.52K,2023-09-11 13:09:42.065394
147199140,61,hitmen 47,[CSK~]Crimson Knights,32.502M,32.504M,21.239M,733.26K,16.508M,1.4878M,136.39K,2023-09-11 13:10:07.080608
147368731,62,Joãø,[CSK~]Crimson Knights,32.144M,32.151M,54.942M,1.2066M,38.021M,3.8481M,416.8K,2023-09-11 13:10:32.068555
147089483,63,ᵂᴬᴿEry,[CSK~]Crimson Knights,31.916M,31.934M,96.196M,924.25K,227.21M,7.7231M,843.14K,2023-09-11 13:10:57.257809
146478489,64,GoodPlayr,[CSK~]Crimson Knights,31.429M,31.441M,163.89M,548.38K,68.889M,13.9M,766.42K,2023-09-11 13:11:22.284931
147380885,65,ABDAR 07,[CSK~]Crimson Knights,31.248M,31.255M,43.937M,1.5182M,475.14M,3.1473M,174.18K,2023-09-11 13:11:48.836953
147413389,66,k1ngpei,[CSK~]Crimson Knights,31.219M,31.219M,58.311M,802.57K,20M,4.7278M,416.23K,2023-09-11 13:12:14.471015
146456447,67,UʷUᵃʳgnoLT,[CSK~]Crimson Knights,31.151M,31.152M,84.398M,850.17K,271.2M,5.9056M,1.1134M,2023-09-11 13:12:39.870184
147394813,68,amy pharma 1,[CSK~]Crimson Knights,31.02M,31.021M,63.813M,1.2242M,75.053M,4.5595M,430.45K,2023-09-11 13:13:06.006681
147374573,69,grrandpoobah21,[CSK~]Crimson Knights,30.827M,30.827M,22.923M,696.04K,5.0171M,1.4829M,398.82K,2023-09-11 13:13:31.765950
147423421,70,Chương ADONIS,[CSK~]Crimson Knights,30.811M,30.819M,49.917M,970.5K,0,3.5723M,246.68K,2023-09-11 13:13:56.841429
147408786,71,Dengii,[CSK~]Crimson Knights,30.597M,30.597M,135.14M,889.3K,20M,10.462M,299.66K,2023-09-11 13:14:21.947554
147411854,72,Runningstorm,[CSK~]Crimson Knights,30.328M,30.328M,5.4691M,15.536K,300.3K,459.34K,5.543K,2023-09-11 13:14:47.617685
147384490,73,Tabares 10,[CSK~]Crimson Knights,30.076M,30.076M,42.582M,1.0731M,29.845M,3.1587M,478.23K,2023-09-11 13:15:12.446275
141634963,74,愛Nauhtito 么,[CSK~]Crimson Knights,30.002M,30.002M,73.158M,1.1673M,334.18M,4.8659M,447.12K,2023-09-11 13:15:37.858330
142381986,75,客ALEX,[CSK~]Crimson Knights,29.91M,29.91M,24.292M,223.97K,249.89M,1.8824M,59.005K,2023-09-11 13:16:05.489358
147436213,76,ᶜʷGiarco,[CSK~]Crimson Knights,29.491M,29.493M,12.2M,1.304M,25.862M,880.46K,130.63K,2023-09-11 13:16:30.492827
147448431,77,ălgharbîa,[CSK~]Crimson Knights,29.445M,29.445M,36.25M,1.4293M,195.72M,2.4574M,352.19K,2023-09-11 13:16:56.263761
146525142,78,ȺɍȼȺnɉø,[CSK~]Crimson Knights,29.385M,29.385M,80.128M,1.404M,254.25M,5.7956M,357.23K,2023-09-11 13:17:21.656770
147280933,79,MiChaElZero,[CSK~]Crimson Knights,29.268M,29.268M,22.391M,781.49K,20M,1.6725M,55.012K,2023-09-11 13:17:47.889980
147413611,80,Когуриё,[D* 43]Devils Brigade,29.005M,29.006M,4.1507M,340.9K,0,82.536K,0,2023-09-11 13:18:13.846513
147234976,81,メCaptain Hawkメ,[CSK~]Crimson Knights,28.941M,28.946M,61.683M,1.1267M,144.66M,4.4446M,585.52K,2023-09-11 13:18:38.845958
147805901,82,anhNghĩađây,[v~43]VietNam,28.922M,28.922M,8.952M,546.96K,30.806M,185.69K,0,2023-09-11 13:19:04.504627
144509331,83,ᶠᵉˣRoland,[CSK~]Crimson Knights,28.719M,28.719M,81.297M,899.56K,426.48M,6.6095M,488.82K,2023-09-11 13:19:30.537416
147339523,84,Hannabanana,[CSK~]Crimson Knights,28.698M,28.698M,4.3061M,265.44K,0,262.64K,65.501K,2023-09-11 13:19:55.913927
147381194,85,Pin lee,[D* 43]Devils Brigade,28.553M,28.561M,494.64K,9.797K,118.28M,28.548K,0,2023-09-11 13:20:21.099545
147189969,86,ᴳᵂUniqnet,[CSK~]Crimson Knights,28.485M,28.487M,12.442M,378.94K,1.9146M,912.68K,127.77K,2023-09-11 13:20:45.643603
147245777,87,MUNCHEN,[CSK~]Crimson Knights,28.373M,28.373M,11.05M,263.22K,0,602.22K,223.46K,2023-09-11 13:21:10.580785
147396833,88,Deadpool SP,[CSK~]Crimson Knights,28.185M,28.185M,42.855M,354.42K,41.336M,3.2824M,74.01K,2023-09-11 13:21:35.187499
147452746,89,VqRick,[CSK~]Crimson Knights,28.098M,28.104M,35.706M,1.1446M,8M,2.1662M,254.07K,2023-09-11 13:21:59.496890
147352443,90,吴光元ᵈʸ,[CSK~]Crimson Knights,28.033M,28.039M,70.413M,1.3434M,20.034M,5.5734M,213.72K,2023-09-11 13:22:24.676979
147442849,91,Santa Emma,[CSK~]Crimson Knights,27.808M,27.81M,17.73M,160.56K,43.4M,1.4465M,126.78K,2023-09-11 13:22:49.785062
147388506,92,Гиревик,[D* 43]Devils Brigade,27.808M,27.808M,2.1279M,100.36K,0,137.88K,0,2023-09-11 13:23:15.749451
147281406,93,babyXrLY,[CSK~]Crimson Knights,27.789M,27.789M,28.66M,927.68K,420.77M,2.2009M,134.38K,2023-09-11 13:23:43.439422
147328671,94,Hung mai,[CSK~]Crimson Knights,27.486M,27.486M,1.9011M,173.67K,47.673M,81.158K,0,2023-09-11 13:24:10.606254
147220584,95,ᵇʳAlfa,[CSK~]Crimson Knights,27.192M,27.192M,46.298M,997.99K,8.8191M,3.6565M,374.2K,2023-09-11 13:24:38.744920
147445346,96,ˢᴺk Itachi,[CSK~]Crimson Knights,27.113M,27.113M,28.221M,403.75K,127.03M,2.1922M,111.39K,2023-09-11 13:25:06.279268
32134551,97,Tschigghof,[CSK~]Crimson Knights,26.971M,26.971M,11.964M,655.74K,100.06M,829.58K,42.201K,2023-09-11 13:25:33.393858
132597222,98,ˢᶦⁿCocox,[CSK~]Crimson Knights,26.923M,26.928M,10.175M,168.49K,0,814.91K,91.342K,2023-09-11 13:25:59.464002
146863173,99,NgọcLinhDayy,[CSK~]Crimson Knights,26.918M,26.918M,12.817M,659.88K,1.1998B,766.08K,192.04K,2023-09-11 13:26:26.802101
