"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
153836735,1,"ᵀᴱAlfyx","[1/TE] Twilight Errant",315811454,330632480,1641979465,16480775,47647572236,125256066,17994653,1695401911.349429
4852411,2,"ᵀᴱ Bank","[TE/1]K31 Farm Alliance",85138288,101579546,3882802725,18005787,8765149749,228056733,77402137,1695401921.355099
147494688,3,"ᴼᴹ Tya","[OM/1J)OGAH MUNDURR",68490627,70016467,118132354,1520638,271890429,9605024,977072,1695401931.866515
76618024,4,"Arthur XV","[JH31] JANDA HUNTER XV",62621905,69634818,769003883,6852019,55083810974,52809751,9605571,1695401943.374468
21653214,5,"ᵀᴱAńuBÎs㋳","[1/TE] Twilight Errant",62556758,78623909,2209614068,15751392,19322114927,118239785,47833370,1695401953.990643
23617798,6,"ᵀᴱ FaĆa","[1/TE] Twilight Errant",62137610,87908880,1622380216,22216613,6065513951,100600823,26933591,1695401964.287556
10064802,7,"IIMHMT2","[1/TE] Twilight Errant",62088366,92738917,4949785035,22054846,23992326943,256920209,116957708,1695401974.393109
128464126,8,"ᵀᴱ NVT DPM","[1/TE] Twilight Errant",61951516,63592553,602217649,2673690,832394117,36554227,11292313,1695401984.38104
1208539,9,"么Mentalistic","[1/TE] Twilight Errant",61935849,72112609,2389976831,23751013,19026356686,142740827,42649230,1695401994.533476
43752815,10,"义Sir Alaa2义","[1/TE] Twilight Errant",61354187,88107725,1628081289,17924772,7114271285,67323215,46227336,1695402004.860657
5013459,11,"Lady 공주ʚĩɞ","[1/TE] Twilight Errant",60776345,80491782,3747870814,20670820,19624279960,234550715,66916979,1695402016.250652
110544014,12,"ᵀᴱBZRP","[TE/1]K31 Farm Alliance",60290464,75822202,710805743,4612006,1643598001,41961907,14109782,1695402026.481402
153823208,13,"Kremitdforg","[JH31] JANDA HUNTER XV",59966230,62491892,140814818,1784368,236990750,11192167,1276418,1695402036.788948
72978238,14,"ᵀᴱ Hieu f2p","[1/TE] Twilight Errant",59283367,67909388,1983109500,18941615,5978878965,105726705,44737989,1695402046.954502
125634624,15,"Ф KHATHUHAI Ф","[1/TE] Twilight Errant",59134636,65820263,1419704184,6314039,1943824364,101764381,17429130,1695402057.020762
