"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
153836735,1,"ᵀᴱAlfyx","[1/TE]Twilight~Errant",317267614,330632480,1623779019,16317159,39447572236,123802544,17812890,1694119058.270163
4852411,2,"ᵀᴱ Bank","[1/TE]Twilight~Errant",85575136,101579546,3873790308,17944411,8765149749,227460446,77298006,1694119073.654226
16447927,3,"ᵀᴱBaPяГ","#error#",78174341,78174341,419626862,8570269,4669424676,23231611,9022676,1694119088.776617
147494688,4,"ᴼᴹ Tya","[OM/1]OGAH MUNDURR",67357457,70016467,118132354,1520638,271890429,9605024,977072,1694119103.561782
1208539,5,"么Mentalistic","[1/TE]Twilight~Errant",63860766,72112609,2315339769,23388477,18559900845,138078075,41311007,1694119118.305976
23617798,6,"ᵀᴱ FaĆa","[1/TE]Twilight~Errant",61344809,87908880,1602888872,22170972,6065513951,100030290,26260429,1694119133.18751
10064802,7,"IIMHMT2","[1/TE]Twilight~Errant",62340626,92738917,4912930314,21847047,23917326943,254283566,116462007,1694119149.457777
21653214,8,"ᵀᴱAńuBÎs㋳","[1/TE]Twilight~Errant",62322050,78623909,2159743236,15688949,18802810086,115169676,46885850,1694119164.679904
5013459,9,"Lady 공주ʚĩɞ","[1/TE]Twilight~Errant",62568009,80491782,3613300421,19714068,19423756522,225091708,65144310,1694119179.298659
128464126,10,"ᵀᴱ NVT DPM","[1/TE]Twilight~Errant",61686230,63592553,599145812,2673690,632394117,36382204,11232925,1694119194.058022
110544014,11,"ᵀᴱBZRP","[1/TE]Twilight~Errant",60637689,75822202,671419853,4423952,1573598001,38517086,13895025,1694119209.174651
43752815,12,"义Sir Alaa2义","[1/TE]Twilight~Errant",59802241,88107725,1624422768,17912780,7114271285,67070468,46173221,1694119225.066335
68694285,13,"ᵀᴱdeaveman","[1/TE]Twilight~Errant",59770363,69148099,374391769,14849735,374438289,23282254,6043717,1694119240.404561
76618024,14,"Arthur XV","[JH31]JANDA HUNTER XV",59563549,69634818,736400601,6711116,55083810974,50254670,9382539,1694119256.194814
41885448,15,"K V H","[31Ws]Whisky & Soda",58076168,73639788,586514290,6824011,3265368281,34025181,10378921,1694119271.426188
153823208,16,"Kremitdforg","[JH31]JANDA HUNTER XV",58629531,62491892,136481586,1754480,236990750,10784407,1276418,1694119286.312772
72978238,17,"ᵀᴱ Hieu f2p","[1/TE]Twilight~Errant",57704004,67909388,1887779769,18590194,5813878964,98469639,43667466,1694119301.090284
65225685,18,"ᵀᴱJehovany","[1/TE]Twilight~Errant",57937906,70890608,784939276,9214512,1707670563,54514720,11527485,1694119316.774889
58058044,19,"ᵀᴱ DukeMigz","[1/TE]Twilight~Errant",57692665,85221815,2231229672,10986497,18165512158,154436897,29585092,1694119331.791988
52696557,20,"ᵀᴱNoChance","[OM/1]OGAH MUNDURR",57183087,77444211,1063231714,10958862,3235701005,68607687,16419405,1694119348.018749
125634624,21,"ᵀᴱKHATHUHAI","[1/TE]Twilight~Errant",55868746,65820263,1268342572,6082800,1943824364,91295813,15239522,1694119362.572771
106308292,22,"ᵀᴱ smile","[1/TE]Twilight~Errant",56297184,59533245,220298799,4540302,2147302228,12535928,4568546,1694119377.049309
109032862,23,"ᴼᵐShanksヅ","[OM/1]OGAH MUNDURR",54877383,60835886,651405980,6281899,8074047679,47724377,7934418,1694119391.734957
97192085,24,"ᵀᴱ Papi 㐅","[DG/f]Dragon Guards Farm",56012956,58673251,674493955,4847653,5332704174,51096662,6448251,1694119407.073124
59538032,25,"Noᴍᴇʀᴄʏ","[1/TE]Twilight~Errant",54594220,72158471,297777768,8407125,4215721363,16396476,6133590,1694119422.466634
147724962,26,"ᶻᵉPopeye","[31Ws]Whisky & Soda",53007566,60001193,297608334,1711891,319709367,22704276,1894509,1694119437.902956
71056110,27,"ᴼᵐ A K D","[OM/1]OGAH MUNDURR",54572597,64274411,347333455,14088783,14323225737,22543372,4925325,1694119453.762024
146515802,28,"SrPerxita","[1/TE]Twilight~Errant",51165068,57308728,425313001,2914217,3657456772,32229262,2963993,1694119468.73855
129315599,29,"ᵀᴱ Mattos","[1/TE]Twilight~Errant",51732094,57879018,995436470,5518582,4396643484,70141307,12880494,1694119483.443
121314402,30,"ᵀᴱ МİRKAN","[1/TE]Twilight~Errant",50659781,60071983,135878897,5078720,120228576,8424280,1388903,1694119497.802228
153748321,31,"ᴼᵐFlovey","[OM/1]OGAH MUNDURR",50734754,52696469,560648932,1862929,447555912,46593163,3933824,1694119512.606352
126812282,32,"ᵀᴱ Mr Báo","[8/TE]Farmer and AOO",48418600,48492564,466552429,5390980,2605503575,33791008,3984916,1694119528.320691
123432042,33,"ᵀᴱ Weedaa","[1/TE]Twilight~Errant",47800585,48161411,858986726,6110136,4145915571,60953956,8203719,1694119545.714067
134324785,34,"Venom Groot","[31Ws]Whisky & Soda",45066579,47569154,63780053,1543564,779207377,4634362,771642,1694119561.593215
147705376,35,"ᶻᵉRayard91","[31Ws]Whisky & Soda",44162537,45517571,126072261,973640,155277371,10750064,545619,1694119576.347001
147686316,36,"ʷˢ Potato","[31Ws]Whisky & Soda",43510668,45293588,364629002,1132290,54736421,32846238,602324,1694119590.782982
45520400,37,"KragerAtTwitch","[1/TE]Twilight~Errant",44241980,48118044,205015065,10880856,6564685322,8284204,6015040,1694119606.699737
134727068,38,"ᵀᴱ Rambo","[1/TE]Twilight~Errant",43250971,48988873,540975467,5505478,829345160,35646568,7084741,1694119622.918984
114263492,39,"ᵀᴱ cafe24h","[8/TE]Farmer and AOO",43351173,50152071,394330203,7842700,1363452666,22177430,8296927,1694119638.232079
93934189,40,"Ritch mahal ko","[1/TE]Twilight~Errant",43053695,43238643,141991705,4367488,498726635,9039698,2083749,1694119653.128427
136243598,41,"ᵀᴱ Maple","[1/TE]Twilight~Errant",42496995,46828381,278233270,3208687,1582151422,19394710,3580480,1694119668.56508
147612752,42,"The Doctor90","[31Ws]Whisky & Soda",42597498,42883990,84695823,826433,110752401,7088150,580232,1694119683.556503
145383896,43,"ᵏˢ Taduke","[1/TE]Twilight~Errant",42171985,44463559,232310711,1705250,203010842,18414895,1605884,1694119698.820409
145222449,44,"ʷˢ Lakouss","[31Ws]Whisky & Soda",42330119,42530635,83619101,683210,595879178,6032764,967053,1694119714.075928
119696394,45,"Wujaaaa","[31Ws]Whisky & Soda",39653146,43154101,101203879,4869749,704263417,6247494,1787609,1694119729.493946
119524703,46,"Bourbon Queen","[31Ws]Whisky & Soda",38711124,43015513,252540685,4894386,1366293655,16832353,3338005,1694119744.021182
145217939,47,"ʷˢGuillaume","[31Ws]Whisky & Soda",37540498,39418039,91889505,1652567,40620636,6811707,712799,1694119758.732875
146133392,48,"ᵀᴱYiğit","[1/TE]Twilight~Errant",38543774,39472658,190783300,2648366,871256326,14243596,1666605,1694119773.161216
147955047,49,"La Linea","[31Ws]Whisky & Soda",38828380,38828984,17887898,249402,24248510,1527030,72732,1694119787.948626
153062655,50,"乂irrelephant","[1/TE]Twilight~Errant",38217281,38217281,85267332,696867,224035773,16759312,581331,1694119803.178424
