"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
153836735,1,"ᵀᴱAlfyx","[1/TE] Twilight Errant",315811454,330632480,1641979465,16480775,47647572236,125256066,17994653,1695407284.729098
4852411,2,"ᵀᴱ Bank","[TE/1]K31 Farm Alliance",85138288,101579546,3882802725,18005787,8765149749,-1,-1,1695407292.959509
147494688,3,"ᴼᴹ Tya","[OM/1J)OGAH MUNDURR",68490627,70016467,118132354,1520638,271890429,9605024,977072,1695407300.985023
76618024,4,"Arthur XV","[JH31] JANDA HUNTER XV",62621905,69634818,769003883,6852019,55083810974,52809751,9605571,1695407309.097514
21653214,5,"ᵀᴱAńuBÎs㋳","[1/TE] Twilight Errant",62556758,78623909,2209614068,15751392,19322114927,118239785,47833370,1695407317.203798
10064802,6,"IIMHMT2","[1/TE] Twilight Errant",62249492,92738917,4949785035,22054846,23992326943,256920209,116957708,1695407325.243897
23617798,7,"ᵀᴱ FaĆa","[1/TE] Twilight Errant",62137610,87908880,1622380216,22216613,6065513951,100600823,26933591,1695407333.20284
1208539,8,"么Mentalistic","[1/TE] Twilight Errant",61985499,72112609,2389976831,23751013,19026356686,142740827,42649230,1695407341.217386
128464126,9,"ᵀᴱ NVT DPM","[1/TE] Twilight Errant",61951516,63592553,602217649,2673690,832394117,36554227,11292313,1695407349.334918
43752815,10,"义Sir Alaa2义","[1/TE] Twilight Errant",61354187,88107725,1628081289,17924772,7114271285,67323215,46227336,1695407357.639312
5013459,11,"Lady 공주ʚĩɞ","[1/TE] Twilight Errant",60775561,80491782,3747870814,20670820,19624279960,234550715,66916979,1695407365.758924
110544014,12,"ᵀᴱBZRP","[1/TE] Twilight Errant",60290464,75822202,710805743,4612006,1643598001,41961907,14109782,1695407373.755821
153823208,13,"Kremitdforg","[JH31] JANDA HUNTER XV",59966230,62491892,140814818,1784368,236990750,11192167,1276418,1695407381.653101
72978238,14,"ᵀᴱ Hieu f2p","[1/TE] Twilight Errant",59283367,67909388,1983109500,18941615,5978878965,105726705,44737989,1695407389.569482
125634624,15,"Ф KHATHUHAI Ф","[1/TE] Twilight Errant",59134636,65820263,1419704184,6314039,1943824364,101764381,17429130,1695407397.604708
68694285,16,"ᵀᴱdeaveman","[1/TE] Twilight Errant",58642351,69148099,414913922,15268825,374438289,26382238,6370148,1695407405.628397
65225685,17,"ᵀᴱJehovany","[1/TE] Twilight Errant",57940159,70890608,828211797,9467109,1707670563,57938901,11899494,1695407413.669184
52696557,18,"ᵀᴱNoChance","[TE/1]K31 Farm Alliance",57859183,77444211,1105721618,11005915,3235701005,72468374,16560883,1695407421.708447
58058044,19,"ᵀᴱ DukeMigz","[OM/1J)OGAH MUNDURR",57405529,85221815,2392710821,11203049,18305512158,167489653,30860066,1695407429.725396
41885448,20,"K V H","[1/TE] Twilight Errant",57290394,73639788,605580113,6961654,3315368281,35488881,10515426,1695407437.680074
106308292,21,"ᵀᴱ smile","[TE/1]K31 Farm Alliance",55786406,59533245,235817659,4667974,2147302228,14022028,4589171,1695407445.625384
109032862,22,"ᴼᵐShanksヅ","[OM/1J)OGAH MUNDURR",55486033,60835886,750197494,6382423,8074047681,56906792,8259529,1695407453.453131
147724962,23,"ᶻᵉPopeye","[31WS]Whisky & Soda",55295911,60001193,30085722,1711891,319709367,22819918,1996657,1695407461.306569
97192085,24,"ᵀᴱ Papi 㐅","[1/TE] Twilight Errant",55030345,58673251,763248434,4933467,5407704174,57759715,7511842,1695407469.175713
71056110,25,"Rendezvöus","[OM/1J)OGAH MUNDURR",54872299,64274411,347333456,14088783,14323225737,22543372,4925325,1695407477.166429
59538032,26,"Noᴍᴇʀᴄʏ","[OM/1J)OGAH MUNDURR",54746963,72158471,301396775,8586572,4215721363,16663712,6170104,1695407485.082406
