ID,POSITION,NAME,ALLIANCE,POWER,HIGHEST_POWER,KP,DEATHS,RSS_ASSIST,T4_KILLS,T5_KILLS,TIMESTAMP
153836735,1,ᵀᴱAlfyx,[1/TE] Twilight Errant,315.81M,330.63M,1.642B,16.481M,47.648B,125.26M,17.995M,2023-09-22 18:28:04.729098
4852411,2,ᵀᴱ Bank,[TE/1]K31 Farm Alliance,85.138M,101.58M,3.8828B,18.006M,8.7651B,-1,-1,2023-09-22 18:28:12.959509
147494688,3,ᴼᴹ Tya,[OM/1J)OGAH MUNDURR,68.491M,70.016M,118.13M,1.5206M,271.89M,9.605M,977.07K,2023-09-22 18:28:20.985023
76618024,4,Arthur XV,[JH31] JANDA HUNTER XV,62.622M,69.635M,769M,6.852M,55.084B,52.81M,9.6056M,2023-09-22 18:28:29.097514
21653214,5,ᵀᴱAńuBÎs㋳,[1/TE] Twilight Errant,62.557M,78.624M,2.2096B,15.751M,19.322B,118.24M,47.833M,2023-09-22 18:28:37.203798
10064802,6,IIMHMT2,[1/TE] Twilight Errant,62.249M,92.739M,4.9498B,22.055M,23.992B,256.92M,116.96M,2023-09-22 18:28:45.243897
23617798,7,ᵀᴱ FaĆa,[1/TE] Twilight Errant,62.138M,87.909M,1.6224B,22.217M,6.0655B,100.6M,26.934M,2023-09-22 18:28:53.202840
1208539,8,么Mentalistic,[1/TE] Twilight Errant,61.985M,72.113M,2.39B,23.751M,19.026B,142.74M,42.649M,2023-09-22 18:29:01.217386
128464126,9,ᵀᴱ NVT DPM,[1/TE] Twilight Errant,61.952M,63.593M,602.22M,2.6737M,832.39M,36.554M,11.292M,2023-09-22 18:29:09.334918
43752815,10,义Sir Alaa2义,[1/TE] Twilight Errant,61.354M,88.108M,1.6281B,17.925M,7.1143B,67.323M,46.227M,2023-09-22 18:29:17.639312
5013459,11,Lady 공주ʚĩɞ,[1/TE] Twilight Errant,60.776M,80.492M,3.7479B,20.671M,19.624B,234.55M,66.917M,2023-09-22 18:29:25.758924
110544014,12,ᵀᴱBZRP,[1/TE] Twilight Errant,60.29M,75.822M,710.81M,4.612M,1.6436B,41.962M,14.11M,2023-09-22 18:29:33.755821
153823208,13,Kremitdforg,[JH31] JANDA HUNTER XV,59.966M,62.492M,140.81M,1.7844M,236.99M,11.192M,1.2764M,2023-09-22 18:29:41.653101
72978238,14,ᵀᴱ Hieu f2p,[1/TE] Twilight Errant,59.283M,67.909M,1.9831B,18.942M,5.9789B,105.73M,44.738M,2023-09-22 18:29:49.569482
