"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
153836735,1,"ᵀᴱAlfyx","[1/TE]Twilight~Errant",317267614,330632480,1623779,16317159,39447572236,123802544,17812890,1694092616.207954
4852411,2,"ᵀᴱ Bank","[1/TE]Twilight~Errant",85575136,101579546,3873790,17944411,8765149749,227460446,77298006,1694092616.207954
16447927,3,"ᵀᴱBaPяГ","#error#",78174341,78174341,419626,8570269,4669424676,23231611,9022676,1694092616.207954
147494688,4,"ᴼᴹ Tya","[OM/1]OGAH MUNDURR",67373087,70016467,118132,1520638,271890429,9605024,977072,1694092616.207954
1208539,5,"么Mentalistic","[1/TE]Twilight~Errant",64847478,72112609,2309146,23311404,18559900845,137706699,41187052,1694092616.207954
23617798,6,"ᵀᴱ FaĆa","[1/TE]Twilight~Errant",61606352,87908880,1600970,22092528,6065513951,99918244,26220534,1694092616.207954
10064802,7,"IIMHMT2","[1/TE]Twilight~Errant",61525664,92738917,4908992,21697916,23917326943,253974288,116419845,1694092616.207954
21653214,8,"ᵀᴱAńuBÎs㋳","[1/TE]Twilight~Errant",61254915,78623909,2157956,15650119,18802810086,115086778,46837972,1694092616.207954
5013459,9,"Lady 공주ʚĩɞ","[1/TE]Twilight~Errant",62762548,80491782,3609073,19671636,19423756522,224842583,65057526,1694092616.207954
128464126,10,"ᵀᴱ NVT DPM","[1/TE]Twilight~Errant",60908540,63592553,596439,2657127,632394117,36300730,11138363,1694092616.207954
110544014,11,"ᵀᴱBZRP","[1/TE]Twilight~Errant",60367959,75822202,671419,4423952,1573598001,38517086,13895025,1694092616.207954
43752815,12,"义Sir Alaa2义","[1/TE]Twilight~Errant",59924795,88107725,1623504,17866720,7114271285,67008317,46158425,1694092616.207954
68694285,13,"ᵀᴱdeaveman","[1/TE]Twilight~Errant",59687757,69148099,371406,14786979,374438289,23071493,6007058,1694092616.207954
76618024,14,"Arthur XV","[JH31]JANDA HUNTER XV",59563549,69634818,736400,6711116,55083810974,50254670,9382539,1694092616.207954
41885448,15,"K V H","[1/TE]Twilight~Errant",58958915,73639788,585009,6777645,3265368281,33889830,10371437,1694092616.207954
153823208,16,"Kremitdforg","[JH31]JANDA HUNTER XV",58651301,62491892,136477,1752303,236990750,10783986,1276418,1694092616.207954
72978238,17,"ᵀᴱ Hieu f2p","[1/TE]Twilight~Errant",58507446,67909388,1882807,18478574,5813878964,98178444,43564470,1694092616.207954
65225685,18,"ᵀᴱJehovany","[1/TE]Twilight~Errant",58099858,70890608,783848,9181841,1707670563,54438736,11510942,1694092616.207954
58058044,19,"ᵀᴱ DukeMigz","[1/TE]Twilight~Errant",57661599,85221815,2231229,10986497,18165512158,154436897,29585092,1694092616.207954
52696557,20,"ᵀᴱNoChance","[1/TE]Twilight~Errant",57648395,77444211,1056872,10917530,3235701005,68025051,16392777,1694092616.207954
125634624,21,"ᵀᴱKHATHUHAI","[1/TE]Twilight~Errant",56423470,65820263,1256082,5921019,1943824364,90658894,14945009,1694092616.207954
106308292,22,"ᵀᴱ smile","[1/TE]Twilight~Errant",56297184,59533245,220298,4540302,2147302228,12535928,4568546,1694092616.207954
109032862,23,"ᴼᵐShanksヅ","[OM/1]OGAH MUNDURR",54877383,60835886,651405,6281899,8074047679,47724377,7934418,1694092616.207954
97192085,24,"ᵀᴱ Papi 㐅","[1/TE]Twilight~Errant",55021206,58673251,667684,4723456,5332704174,50663803,6324198,1694092616.207954
59538032,25,"Noᴍᴇʀᴄʏ","[1/TE]Twilight~Errant",54594220,72158471,297735,8407125,4215721363,16392220,6133590,1694092616.207954
