"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
68802497,1,"Тinƶо","[129D]Demons of Anarchy",75042957,110524200,2926872412,13970420,12546365659,214313448,32454543,1695397014.852351
44022410,2,"Gabosaki","[129V]Victory",68366463,95788604,1237517048,9599115,12545696363,71818258,25018874,1695397024.09326
153602095,3,"Slavik Tinzo","[129D]Demons of Anarchy",60045349,78811304,1259625829,5669305,6277784009,110864015,2728826,1695397033.479553
91949417,4,"ᴰᴷ Baga","[129D]Demons of Anarchy",58497111,80279221,767602642,7507843,1711453713,47480258,14008893,1695397042.761097
82407964,5,"uBoU","[129D]Demons of Anarchy",54545839,55532766,266588358,5623710,1166126915,19146639,2972001,1695397052.283653
153583397,6,"ᴰᴷTenebros","[129D]Demons of Anarchy",51753095,52448041,291753771,1823782,427602063,24357187,2051302,1695397061.50519
133678492,7,"Sertok444","[129D]Demons of Anarchy",46382027,46383621,175950119,4060751,2332863,14277742,1415470,1695397070.820857
153610775,8,"ᴰᴷWoody","[129D]Demons of Anarchy",4578721,45787521,185018181,1185833,190243384,16289909,634323,1695397080.492903
145090827,9,"ᴰᴷThợSăn","[129D]Demons of Anarchy",45165771,45165771,317428496,3477312,288213625,26027420,2393730,1695397089.828511
129248131,10,"Zadira005","[129D]Demons of Anarchy",44182241,45913486,1941241,3726983,1955401094,42192052,3940878,1695397099.05578
146875988,11,"ˣRoyalRally","[129A]Angels of Anarchy",42910965,42944233,160859337,756370,3644491377,11907020,1765270,1695397108.218961
153662077,12,"ᴀᴀSplash","[129D]Demons of Anarchy",40691284,40692096,66141372,743771,305933470,6154072,100700,1695397117.42772
48644171,13,"ᴰᴷKIRYTO","[T_NL]The3 Nameless",4063744,45556073,31635652,6452240,644849266,2201130,283548,1695397126.677805
134914609,14,"Doraemon 37","[129D]Demons of Anarchy",40552875,41998083,490968007,5090538,582334081,37370771,4285012,1695397135.897886
94454395,15,"Boneless Alekay","[129D]Demons of Anarchy",39891415,39891423,116094534,3878350,318497459,8542244,1061569,1695397145.639958
139490038,16,"CFB","[129D]Demons of Anarchy",39269614,39269614,180980323,2141467,1005243,14134686,584603,1695397155.298926
99766788,17,"Nurlan97","[129D]Demons of Anarchy",38769028,42684593,121638929,5576867,490287808,7364545,2164334,1695397164.843446
87386556,18,"ᴰᴷF0r","[129D]Demons of Anarchy",37971450,38174037,51245918,3461005,2834102961,41299181,4591979,1695397174.129552
121315479,19,"ᴰᴷPutin","[129D]Demons of Anarchy",37018014,42668344,33989794,6933725,1081166702,1778156,773358,1695397183.270601
153595004,20,"ᴰᴷJoker","[129D]Demons of Anarchy",36944576,36944576,113050076,488316,25000000,4735217,420335,1695397192.638523
134628815,21,"ᴰᴷGojera","[129D]Demons of Anarchy",36652421,37686700,185291936,1511792,898870784,16210532,776914,1695397201.833424
154148530,22,"ᴰᴷPhi Lý","[129J]the dark Angels",36470590,37412883,22130492,1324947,52460577,18878239,513465,1695397212.279397
