"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
141601623,224,"Levantee","[UNC~]Unicorns of 3043",19740317,19740317,8561924,763682,25307011,543370,19257,1695726673.81454
148439087,225,"NGENTOD II","[UNC~]Unicorns of 3043",19707645,19707645,5517144,375819,813207510,347051,8999,1695726696.755265
147396956,226,"Правитель147396956","[R6-]UNIONBRO",19684012,19684012,948155,476285,155804,63770,0,1695726719.633995
141548536,227,"Its Dudu07","[CSK~]21 STATS OP",19575391,21677202,30690938,1696634,5374086,1904072,204740,1695726742.393131
147445703,228,"Silla Felix","[CSK3]BlackMist",19540972,19540972,2424593,591503,6291720,35002,7988,1695726765.154155
147392078,229,"Karaidesu","[D143]Reyal Wings Farm",19539077,19539077,250355,45937,91334833,7203,0,1695726787.912055
147357900,230,"mfktim","[~REP]The Republic",19518035,19518035,16080030,196059,16333126,934575,8074,1695726810.772935
148115195,231,"vlNeKoZ","[CSK~]21 STATS OP",19486635,21435947,7192545,1046548,1534512,309610,128926,1695726833.840876
147365214,232,"Azerbaijan Maki","[D* 43]Devils Brigade",19487562,19487562,649731,4824,3272251,33740,0,1695726856.632918
144621435,233,"playerss5","[UNC~]Unicorns of 3043",19457589,19457589,194559,4126,264594631,9308,0,1695726879.410718
147376057,234,"Thinnes","[CSK3]BlackMist",19444006,19444739,176317,4352,0,11876,0,1695726902.152206
147344710,235,"AudiRS3252816","[D* 43]Devils Brigade",19353645,19353645,773735,31860,43669753,20387,0,1695726924.840444
147414428,236,"kinoka001","[D* 43]Devils Brigade",19304767,19466898,7157230,460702,4080800,436928,0,1695726947.670796
147329878,237,"ArnoldBerlin","-",19278200,19278200,181391,3782,0,9485,0,1695726970.483188
147394914,238,"Frąnkęnstęin","[CSK~]21 STATS OP",19096845,19690127,89817698,845485,197971483,6891549,842245,1695726993.323032
147506585,239,"Funnymonkey666","[CSK~]21 STATS OP",19057453,19057453,4778009,486006,16213674,255208,64606,1695727016.13557
141598245,240,"EnriqueCR21","[UNC~]Unicorns of 3043",18975461,18975461,1867888,22643,0,125866,597,1695727039.028098
141741149,241,"52 Hz Blue","[UNC~]Unicorns of 3043",18924727,18924727,10874720,774327,345920000,263828,0,1695727062.087856
146589215,242,"مشگلجي","[D* 43]Devils Brigade",18871803,18871803,7160796,954825,212740008,335021,13978,1695727084.878078
147357867,243,"Mfkwilco","[~REP]The Republic",18855322,21570478,22046234,1367837,81041199,1262544,53966,1695727107.657035
147303057,244,"Samirsams","[CSK~]21 STATS OP",18854386,19476856,12254139,480095,70892602,700096,204481,1695727130.397545
146708079,245,"Daėmøn","[CSK~]21 STATS OP",18812131,18812131,76271460,649414,80770357,5730807,476707,1695727153.143947
147354056,246,"chinovixx10","[D* 43]Devils Brigade",18759806,18759806,464873,54091,0,13015,83,1695727176.103723
147392784,247,"Ddog132","[UNC~]Unicorns of 3043",18747556,18747556,3372579,707369,0,190947,6883,1695727198.763402
141403439,248,"ᶠᵉˣJAVI","[CSK~]21 STATS OP",18697188,21148613,18025274,1458686,126944890,1239074,174053,1695727221.519562
147356136,249,"Marco Veratti","[CSK~]21 STATS OP",18683399,18683399,14581830,340561,92416770,872327,143127,1695727244.131411
146751256,250,"Luc Van Tieen","[K~43]Réyal Wings",18667903,18667903,5369893,791567,37619269,449744,12251,1695727266.889551
147338610,251,"XxExxTerxXx","-",18626087,18922848,16360355,529271,86610997,1274105,49504,1695727289.668727
147277139,252,"HOANGTHAT","[D* 43]Devils Brigade",18574860,18574860,4120054,21940,30759088,182711,3511,1695727312.759765
146471098,253,"义 ÐEÆÐ 义","[CSK~]21 STATS OP",18481912,19768980,29714988,1601219,154827667,1970252,276797,1695727335.187654
147369007,254,"KawinQz","[~REP]The Republic",18435317,18435317,3885226,176031,14312239,66498,0,1695727357.578349
147417293,255,"ᴷᵒˢTuRBo","[UNC~]Unicorns of 3043",18402466,18404128,5381475,965915,0,355548,47236,1695727379.946355
147412849,256,"fozz6","[~REP]The Republic",18398048,18398048,700080,43705,1468871,39401,0,1695727402.24184
148100549,257,"King Leahcim","[~REP]The Republic",18360331,18360331,3605003,229162,2652914,248962,5555,1695727424.548715
147021428,258,"JHonnyBlack18","[A_43]Dark Létis",18313833,18313833,2732289,384518,2035535,74866,0,1695727446.90477
147414881,259,"Marek 2","[K~43]Réyal Wings",18297244,18297244,1171675,86924,6626798,82774,10642,1695727469.212633
147349511,260,"Wɧıɬɛメ","-",18251615,22279246,19360883,1046042,2,1328858,256985,1695727491.569629
147377940,261,"Began","[poop]Smelly ballz",18199916,18199916,130722,18686,0,3856,0,1695727513.881851
147795890,262,"Con Khỉ Này","[CSK~]21 STATS OP",18149168,18149168,2122746,97523,2658795719,150450,15010,1695727536.199836
147332284,263,"neket","[D* 43]Devils Brigade",18034875,18034875,794880,115716,0,10301,490,1695727558.57663
148521599,264,"Trebor Lafar","[D* 43]Devils Brigade",17995434,17995434,253702,0,0,17433,0,1695727580.885623
147370617,265,"EligaKnit","[CSK~]21 STATS OP",17946354,17946354,4278365,452193,18378252,186521,9066,1695727603.194219
146670783,266,"I like clan UNC","[UNC~]Unicorns of 3043",17851655,17851655,25776290,1173058,2188757707,1631138,104459,1695727625.64904
147405330,267,"MightyScout","-",17835664,17835664,1764430,214065,3447749,54137,0,1695727648.139656
147424258,268,"Thomas Orléans","[D143]Reyal Wings Farm",17820426,17820426,544991,158430,2600000,8068,0,1695727670.580386
147413967,269,"poison409","[D* 43]Devils Brigade",17789724,17790084,99395,15281,3600000,2796,0,1695727692.925788
149467714,270,"pedro mx","[CSK~]21 STATS OP",17668013,17668013,3590377,93234,380040634,282850,27598,1695727715.333783
140876113,271,"Cat Knight X","[G43f]ferma all",17640991,17640991,13890832,81671,2997773654,1223720,0,1695727737.822396
146400706,272,"Dennis15","[CSK~]21 STATS OP",17636415,19491566,42902002,1626567,0,3232244,311262,1695727760.313165
147333692,273,"ᴾᴴ Matthewシ","[CSK~]21 STATS OP",17617597,17624500,5313844,605251,100000,461443,15978,1695727782.986568
147351252,274,"mieteck21","[D* 43]Devils Brigade",1782901,17582901,2147032,775367,0,142977,0,1695727805.548906
147727779,275,"Zeus83","[K~43]Réyal Wings",17444298,17444298,9433281,186555,4075130,476089,706,1695727827.973808
147439819,276,"Ria 38","[CSK3]BlackMist",17442529,17442529,1618560,366556,19325100,95688,8198,1695727850.43564
147260605,277,"Shikay","-",17409853,17891112,27186050,970389,8400410,1071207,48756,1695727872.843068
147359433,278,"GiyuTheHashira","[UNC~]Unicorns of 3043",17397477,17397477,1861831,841454,7268458,147864,8598,1695727895.210792
147381084,279,"TheDescendent","-",17392008,17392008,48174308,134176,3600018,4049086,42238,1695727917.605809
147377059,280,"skeletonking","[CSK~]21 STATS OP",17376468,18518347,10602126,860382,0,620349,16699,1695727939.996622
147427676,281,"BabyKill","[v~43] VietNam",17365016,17365016,3923134,14857,0,204033,0,1695727962.392883
147427310,282,"WorM","-",17359088,17359088,127095,48859,0,9665,0,1695727984.776907
147395568,283,"gymo","['ark]Arikanami",17263491,17263491,204113,10626,37076,15027,0,1695728007.134968
147202667,284,"TybSKI","[CSK~]21 STATS OP",17178468,18144975,17416556,1231976,127584397,1413884,73204,1695728029.479709
123207706,285,"Amon Akumo 33","[D* 43]Devils Brigade",17168974,17168974,314923,155057,2800000,11544,0,1695728051.920875
147425751,286,"tabien9","[UNC~]Unicorns of 3043",17138023,17138023,6401080,855164,3200000,481405,27461,1695728074.291392
147497630,287,"Pompey17","[UNC~]Unicorns of 3043",17100802,17100802,316883,6340,785756,5983,0,1695728096.750651
147194691,288,"Sanderbeg","-",17081150,21021661,6244981,863158,36107359,502056,36199,1695728119.089826
146620840,289,"JASAO CSK","[CSK3]BlackMist",17060691,17060691,11969021,1466294,16036756,757860,42614,1695728141.518643
147426185,290,"DrAkula farm","[RHCB]Wakanda Forever_TT",16967647,16967647,5940020,262165,0,500714,44940,1695728163.979532
147337265,291,"Son Ragnarok","[D* 43]Devils Brigade",16918066,16918066,6833709,775490,49460175,540220,31797,1695728186.332563
51689581,292,"mergana 366","[UNC~]Unicorns of 3043",16694963,16694963,2041193,504585,3000000,3176,0,1695728208.839706
145598404,293,"ZamuK7","[D143]Reyal Wings Farm",16671089,16671089,4510739,724812,1122740051,381711,0,1695728231.197115
150872787,294,"FodasWork","[CSK~]21 STATS OP",16668486,16668486,107060,0,1874013689,1933,0,1695728253.575847
148284526,295,"LuckyMoon","[8ter]Get Folded",16663696,16663696,451688,73348,0,38317,0,1695728275.966533
147387369,296,"jess230","[D* 43]Devils Brigade",16562830,16573398,3510580,344666,1713889,287304,535,1695728298.267403
147400733,297,"ᵘᵗᶜ Reus","-",16426623,16426623,20352763,29356,9631000,1364957,27659,1695728320.647019
150471697,298,"k0loo","[CSK~]21 STATS OP",16409680,16409680,24109883,1197147,223467222,2089876,123570,1695728343.104418
147502203,299,"merunthe","[VSPC]vespecky",16407066,16407066,15984,1107,0,0,0,1695728365.549978
147243964,300,"Sasukye","[UNC~]Unicorns of 3043",16339124,16339124,2797554,237228,0,62606,0,1695728387.88983
