ID,POSITION,NAME,ALLIANCE,POWER,HIGHEST_POWER,KP,DEATHS,RSS_ASSIST,T4_KILLS,T5_KILLS,TIMESTAMP
32090653,1,ᵁᴼLavin,[40U0]Universe Orders,228661162,335517266,6010910163,63229474,47587603591,250894867,171502846,1694525355.084732
33636179,2,ᵁᴼTruonG,[40U0]Universe Orders,119835338,175375176,7530914878,38799459,18687332303,291441469,226898379,1694525381.192582
12420423,3,ᵁᴼLinh San,[40U0]Universe Orders,111084275,134562115,3998127903,25012617,41164476132,150397340,123861542,1694525408.438768
24735932,4,ᵁᴼLaviN,[40U0]Universe Orders,103275701,475143079,20793523424,111589852,93966461738,684157731,695294212,1694525434.608375
55396678,5,ᵁᴼ sub zero,[40U0]Universe Orders,89360931,101346633,1249019633,12842826,9590214498,62038751,30216411,1694525460.218326
70989110,6,ᵁᴼ 3Báo,[40U0]Universe Orders,88142352,115755773,2215521486,11742202,25203399671,110816208,52363834,1694525483.272686
154170083,7,Ninaka,[40U0]Universe Orders,85375635,101317249,839898525,3231530,456200000,56735231,11356112,1694525513.961584
50558829,8,ᵁᴼ Gun,[40U0]Universe Orders,83767628,96666672,3794959544,15119635,22139885710,173388299,97616247,1694525538.246934
55191847,9,ᵁᴼMinh98,[40U0]Universe Orders,80809711,83910307,1660744893,15282863,31397843058,75047255,43187443,1694525568.094288
56988767,10,wаnderer,[40U0]Universe Orders,77056159,77773827,1165202514,8956600,13119048480,66475034,23987267,1694525592.515666
153929083,11,ᵁᴼPug,[40U0]Universe Orders,76140819,81115385,235469054,1655402,340636441,15763638,2942054,1694525619.528247
153922030,12,ᵁᴼTruongBMT,[40U0]Universe Orders,75517230,80419694,321528782,1334853,4264400321,26209236,1520172,1694525647.694602
154169981,13,Sếp Ninaka,[40U0]Universe Orders,74799087,75073056,353185177,995450,724800000,21174797,5850522,1694525673.471774
154809787,14,Da Moisturizerr,[4010]Infinity Orders,74532320,77070230,274595625,1288093,6112291893,19967936,1613914,1694525702.075939
82111516,15,ALICIA 99 OF UO,[40U0]Universe Orders,73370682,81162911,1120775811,6940042,15402375240,73200998,18633176,1694525726.654695
153979841,16,ᵁᴼ 몽 땅 Ying,[40U0]Universe Orders,72671339,103013783,740843294,6347847,3846978565,58691308,6762315,1694525757.104485
18612652,17,ＨＡＶＥＮ,[40DO]Divine Orders,71905956,84557995,5029718051,22966248,13709331455,221738306,138292175,1694525781.545581
78296634,18,ᵁᴼㅣDaisy,[40U0]Universe Orders,71434568,82555555,2250907344,14079072,9169641264,117906463,51245663,1694525812.514387
17232873,19,ᵁᴼ Kutiin,[40U0]Universe Orders,70440591,98370624,2588548641,19739304,33351641019,122603802,67204736,1694525837.944677
88629369,20,ᵁᴼTrang Fam,[40U0]Universe Orders,69326003,77394047,1006945503,9067275,6018789888,65267991,17079464,1694525868.413574
32426615,21,ᵁᴼ Ying2,[40U0]Universe Orders,69181302,161627719,6523936447,44567553,17825496441,225753995,207598087,1694525892.717008
154537658,22,BG DON,[40U0]Universe Orders,68433095,71477489,177065905,882350,1377743353,12180471,2512163,1694525920.04811
78695445,23,WARRIOR ÂKAY,[40U0]Universe Orders,68552406,80574139,1352852132,10115119,6052579914,64090722,33596795,1694525948.435382
