"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
32090653,1,"ᵁᴼLavin","[40U0]Universe Orders",229937432,335517266,6063434048,63382292,47587603591,255264375,171807942,1695391148.639926
33636179,2,"ᵁᴼTruonG","[40U0]Universe Orders",120582208,175375176,7531918288,38799459,18687332303,291447340,226945614,1695391158.019364
12420423,3,"ᵁᴼLinh San","[40U0]Universe Orders",112970108,134562115,4018798940,25032370,41164476132,152170084,123994135,1695391168.821689
24735932,4,"ᵁᴼLaviN","[40U0]Universe Orders",104669281,475143079,20794041494,111589852,93966461738,684207568,695295197,1695391178.272246
154170083,5,"Ninaka","[40U0]Universe Orders",89925782,101317249,839898535,3231530,456200000,56735232,11356112,1695391188.008977
55396678,6,"ᵁᴼ sub zero","[40U0]Universe Orders",89344540,101346633,1265035231,12895553,9595214501,63336311,30361226,1695391197.371909
70989110,7,"ᵁᴼ 3Báo","[40U0]Universe Orders",88443616,115755773,2258423874,11750951,25313399671,114761110,52531029,1695391206.726466
50558829,8,"ᵁᴼ Gun","[40U0]Universe Orders",82305250,96666672,3833521091,15574965,22139885710,176887848,97644514,1695391215.940551
55191847,9,"ᵁᴼMinh98","[40U0]Universe Orders",81696481,83910307,1670750875,15284716,31797843058,75717597,43340426,1695391225.794392
153929083,10,"ᵁᴼPug","[40U0]Universe Orders",80093124,81115385,256196695,1682201,340636441,17395543,3020529,1695391235.655617
56988767,11,"wаnderer","[40U0]Universe Orders",77240759,77773827,1165219824,8956600,13119048480,66476765,23987267,1695391244.864441
153922030,12,"ᵁᴼTruongBMT","[40U0]Universe Orders",76189400,80419694,322713832,1334853,4264400321,26211273,1578406,1695391254.034015
154169981,13,"Sếp Ninaka","[40U0]Universe Orders",75847071,75969881,374772369,1071862,744800000,23089171,5895547,1695391263.34108
78296634,14,"ᵁᴼㅣDaisy","[40U0]Universe Orders",75345999,82555555,2303873567,14221231,9169641264,122086440,51568673,1695391273.14101
154809787,15,"Da Moisturizerr","[4010] Infinity Orders",74620320,77070230,274595625,1288093,6112291893,19967936,1613914,1695391282.754429
153979841,16,"ᵁᴼ 몽 땅 Ying","[40U0]Universe Orders",74299421,103013783,747314371,6347847,3846978565,58789050,7023414,1695391292.287113
154537658,17,"BG DON","[40U0]Universe Orders",71922605,71922605,180964445,882350,1377743353,12208213,2693219,1695391302.371765
153854617,18,"ᵁᴼLexxielue","[40U0]Universe Orders",71409539,80606006,380898926,5060840,502343261,23360675,2516192,1695391311.961623
18612652,19,"HappyHavenツ","[40D0]Divine Orders",71403869,84557995,5053626531,23070789,13714331524,223796486,138411881,1695391321.615381
82111516,20,"ALICIA 99 OF UO","[40U0]Universe Orders",71301268,81162911,1189640167,7275435,15517375240,79359029,18950876,1695391331.324642
17232873,21,"ᵁᴼ Kutiin","[40U0]Universe Orders",71208375,98370624,2588548641,19739304,33351641019,122603802,67204736,1695391341.207761
32426615,22,"ᵁᴼ 몽땅 Ying","[40U0]Universe Orders",69800702,161627719,6530732333,44567553,17825496441,225753995,207923143,1695391350.789479
81229346,23,"ᵁᴼツɧảɨム","[40U0]Universe Orders",69698525,82213053,2258083977,14807474,24790372759,145655817,34624039,1695391360.52437
47585874,24,"ᵁᴼ Dongra","[40U0]Universe Orders",68933086,106765099,3704022899,20305842,40413288495,208188498,78870235,1695391370.348271
78695445,25,"KING ÂKAY","[40D0]Divine Orders",68728220,80574139,1370279110,10184436,6057579914,65158734,33920868,1695391380.019842
88629369,26,"ᵁᴼTrang Fam","[40U0]Universe Orders",68568709,77394047,1027777912,9184734,6093789888,67179530,17134163,1695391390.445218
154355004,27,"ᵁᴼfirstlove","[40U0]Universe Orders",68233902,75978519,797099077,2757921,19016820102,60938149,7058301,1695391399.9233
154470870,28,"ᴰᴼЖHadesЖ","[40U0]Universe Orders",67591665,80212155,274919879,2145881,5494880405,19978037,3197046,1695391409.40036
153883246,29,"ᵁᴼswifty","[40U0]Universe Orders",66694077,67714525,146320588,755050,2057345392,9813041,2306800,1695391418.753052
154507926,30,"ᵁᴼᴍiɴᴛ","[40U0]Universe Orders",66289005,92806895,1159319850,4627596,10258109986,90949292,8481788,1695391428.591573
47354660,31,"ᵁᴼTộc Fam","[40U0]Universe Orders",65748407,83009406,1364064132,12146747,15769123306,62389317,33385861,1695391437.994082
56415985,32,"ᵁᴼ HENSIFER","[40U0]Universe Orders",65612283,83508047,2950463436,17316398,18842047820,139694628,73578558,1695391447.939036
154205976,33,"乂ᵛVenom乂","[40U0]Universe Orders",65141715,85333335,1241747175,4402961,20319932820,93439517,14407250,1695391457.594161
154443752,34,"父Mighty父","[4010] Infinity Orders",64515026,86013503,529999261,3356729,640299124,39679719,6317959,1695391467.154102
47814661,35,"ᵁᴼNORAヤ","[40U0]Universe Orders",61841259,78067961,830877619,14044181,17291773581,47589865,16398740,1695391476.951601
154802087,36,"CátBụi86","[40U0]Universe Orders",60392022,60392022,302854003,1038277,3127393,25143180,2169265,1695391486.359482
26823289,37,"sᴀᴠᴄı〤","[40U0]Universe Orders",60140371,78716542,1737199585,18942848,14774233122,105570002,28930473,1695391496.174713
153901108,38,"MightyGoose","[40U0]Universe Orders",59314682,60614170,445860031,1321460,1635774639,31547635,4780843,1695391505.879759
75144161,39,"ᵁᴼGhøstBR","[40U0]Universe Orders",59310308,64576924,543737163,9520642,10218333789,40242005,5719924,1695391515.447843
91869121,40,"ᵁᴼDaddyDell","[4010] Infinity Orders",58845751,58845751,831523318,9320361,2472823015,68655700,5594799,1695391525.067869
154227241,41,"ᴰᴼJuiceBox","[40D0]Divine Orders",57749368,57766661,81842109,856179,137626465,5455758,1267518,1695391534.876223
153904428,42,"ᵁᴼGeneralKK","[40U0]Universe Orders",57201018,57201018,191098829,482497,422804263,14388214,1629232,1695391544.769039
128534060,43,"ᵁᴼPhát1988","[40U0]Universe Orders",57071661,64254416,424722606,6401542,4407765975,27779250,6800032,1695391554.454302
153564533,44,"PDR55","[40D0]Divine Orders",56125358,56125358,243603115,951333,1341970900,20249725,1799528,1695391564.395314
154427030,45,"ᴰᴼVioNoelle","[40D0]Divine Orders",55202547,56124038,190067241,2170808,413725609,13223511,2516869,1695391573.9462
153766475,46,"ᴵᴼCHOUCHEN","[4010] Infinity Orders",55009312,61122910,217688911,1767735,1402171644,17641311,438158,1695391583.662569
120396038,47,"off thời gian","[40v!]TACH1",54815546,54815546,214308888,3011629,2867841604,15120615,1695589,1695391593.151886
63249495,48,"ᵁᴼDiane","[40U0]Universe Orders",52387919,54271037,330609985,5995004,9861856884,22716177,3750988,1695391602.64135
154248098,49,"ᴰᴼHappy H4w","[40U0]Universe Orders",51886577,51886577,177307969,795001,7189374937,12358836,1967106,1695391612.323522
142289884,50,"ᵁᴼtra dau","[40U0]Universe Orders",51900189,56258549,587945974,3790018,7511711382,47637111,2865402,1695391621.897198
136957509,51,"Dēva","[40U0]Universe Orders",51790848,51844775,159703126,1733457,1215884798,12104901,1760011,1695391631.597167
154390381,52,"ᵁᴼ월인지강천","[40U0]Universe Orders",50066003,50066003,44851094,1537963,25706732,3388966,415448,1695391641.214127
146003321,53,"ᵁᴼòóo","[40U0]Universe Orders",48556212,48564476,28047223,1784771,2631125857,21517491,2172194,1695391651.102249
154474112,54,"Yuusuuke","[40U0]Universe Orders",4793823,47938751,62517562,13356,73735400,5233817,420175,1695391660.529205
150306185,55,"ᵁᴼ Nj Star","[40U0]Universe Orders",47880159,48487719,176995048,1393575,67571477,14884245,1092552,1695391670.082764
