"ID","POSITION","NAME","ALLIANCE","POWER","HIGHEST_POWER","KP","DEATHS","RSS_ASSIST","T4_KILLS","T5_KILLS","TIMESTAMP"
7048651,1,"ˢˢBuldoZ","[W35S]White Swords $",99669650,138031262,2348253371,19812576,5077835202,91569402,71376410,1695829283.411331
22278850,2,"ˢˢ EL CAPTAIN","[W35T]whiteTiger&BlindCat",90276510,136630463,4509657137,29901417,29672875212,162601980,142401086,1695829295.163288
102763234,3,"ˢˢ ShellBee","[W35S]White Swords $",83102480,124706700,2387033320,17280830,6455783871,111362936,61943738,1695829306.879395
154028374,4,"ʷᵗ Pendragon","[W35T]whiteTiger&BlindCat",80500507,80669107,241652407,1328697,462368811,19477137,1847854,1695829318.511606
121498947,5,"ˢˢ QN92Star","[W35S]White Swords $",75609209,75709911,75087238,2220528,1322257944,35277252,18283830,1695829330.234975
102742532,6,"ˢˢ 义Ban亗","[W35S]White Swords $",74986450,100673022,2735171407,15592331,37273170073,135413982,60401772,1695829341.999498
17656858,7,"ˢˢ  鯱Kraken","[W35S]White Swords $",74087043,84998434,473728613,4566334,3092569010,27733237,9745829,1695829353.730567
75570174,8,"K么NChiaraˢˢ","[W35S]White Swords $",71913420,87093866,2005738246,13062197,8269490715,92010008,52683712,1695829365.454085
-1,9,"InactivePlayer","#error#",-1,-1,-1,-1,-1,-1,-1,1695829377.101262
58993600,10,"ᴳᴱᴴSơn","[W35T]whiteTiger&BlindCat",71205746,104382295,1485877589,15979548,21139894736,52230079,46143329,1695829395.15131
152464958,11,"ˢˢ함걸","[W35S]White Swords $",70428586,77517338,645620865,2373717,3120190773,49329781,5628273,1695829406.87042
154114615,12,"PАTTОN","[W35S]White Swords $",69109334,74734484,289040359,1851442,259043829,23081979,2404735,1695829418.553382
60292366,13,"Mr Nhật AngEL","[W35S]White Swords $",68339076,79302676,433196943,13123932,22694928119,28532727,6331556,1695829430.271544
56334860,14,"ˢˢ WaR ReMix","[W35S]White Swords $",66886051,77647421,1094780406,8099644,5329989058,64485146,21256352,1695829441.954268
39595102,15,"The Punishêr","[W35T]whiteTiger&BlindCat",66871203,80752105,723760966,13725475,5300840152,34894320,18140462,1695829453.62129
63168658,16,"BUMƁLƐƁƐƐ","[W35S]White Swords $",66616063,75243977,2922816593,12314049,4779440928,157961944,64620681,1695829465.355966
40725650,17,"ˢˢ lửng","[W35T]whiteTiger&BlindCat",66024004,95399467,3336894134,23776918,13429042645,147342357,91302919,1695829476.990368
128639644,18,"BradLouq","[W35T]whiteTiger&BlindCat",65509241,72115632,704491797,2995545,2312932503,38117594,15412912,1695829488.640845
85408698,19,"Vô Cực 2k","[W35S]White Swords $",65265357,85493813,56530218,10938114,686929111,28533593,12988244,1695829500.341545
56385890,20,"ˢˢ VIKING","[W35S]White Swords $",64743419,80654323,1497509995,12203363,6884502434,81314816,32963081,1695829511.993422
124164264,21,"ˢˢALexSơn","[W35S]White Swords $",64255411,67884509,1018157046,4498083,952361508,69899759,14641070,1695829523.642565
122818813,22,"ˢˢHổ","[W35S]White Swords $",63117965,65028378,1851218483,6811838,6222273849,114049455,34266507,1695829535.293302
130796560,23,"ˢˢ tri","[W35S]White Swords $",61439662,63524896,952693720,6067400,7129078658,60344454,14202512,1695829546.957706
107757720,24,"Cerberusˢᵏ","[W35S]White Swords $",61333450,65916765,1262184805,7611342,2199123979,101714437,6807672,1695829558.62918
154087939,25,"ss추억여행ss","[W35S]White Swords $",61016880,66296681,166827593,2445943,691290805,12855979,959580,1695829570.296252
87640458,26,"Jong Hyun","[AO3S]AssassinsCreedOrder",60977668,65449734,86344615,9166554,10401239346,2586221,2456145,1695829581.961612
109438507,27,"Zeroˢˢ","[W35S]White Swords $",60707112,65805782,1274655464,4821758,2352316244,99129616,12182126,1695829593.630305
150250400,28,"ˢˢGoldenmonky","-",60654732,66435743,251143974,2773292,1226954792,21400608,1547005,1695829605.380762
82034826,29,"DANGER CL0SE","[W35S]White Swords $",60617635,62339527,20830878,3722375,1384194259,12434617,3515512,1695829617.043505
128806273,30,"Zeltaga","[W35T]whiteTiger&BlindCat",60613896,69812999,582802948,2866846,3739670966,34567510,10095824,1695829628.748311
150003864,31,"ˢˢ DeUs VuLt","[W35S]White Swords $",59611110,61487118,597723198,1588527,1250994979,52303075,2237561,1695829640.467314
121830336,32,"ˢˢ DaZeus","[W35T]whiteTiger&BlindCat",59538575,73400252,278860791,8227284,141705388,19265566,3510013,1695829652.150886
129297953,33,"キラOlıve女王","[W35S]White Swords $",56915302,64406429,1053124708,6305276,3440941187,69665673,15353444,1695829663.817933
84917852,34,"Cà phê","[W35S]White Swords $",56381928,56395888,77679096,6798052,1736289527,5119244,853122,1695829675.535732
134786934,35,"Trung Anh 㐅","[W35S]White Swords $",55917445,55917445,146082446,3660837,631880797,9900447,1318625,1695829687.24011
153364217,36,"Rockᴳᴱᴴ","[W35T]whiteTiger&BlindCat",55692439,58613944,395038731,3691692,2992393745,32995315,2174977,1695829698.919904
89975785,37,"King of Angmar","[W35T]whiteTiger&BlindCat",55254900,55254900,158405259,2530478,1248490984,9197422,1513629,1695829710.621727
147153326,38,"35㐅 harry1965","[W35T]whiteTiger&BlindCat",54759802,54759802,54550813,432368,56485310,4128579,416312,1695829722.354639
95308756,39,"K么NShadeˢˢ","[W35S]White Swords $",54201319,54549756,834042749,4859894,6952751476,46977596,17166746,1695829734.022001
154030541,40,"ˢˢ Heinekenv","[W35S]White Swords $",51700680,51706636,96915958,1216355,686028087,6278056,1611838,1695829745.789798
147153355,41,"35 㐅 Asgard","[W35S]White Swords $",50917952,52965997,263367387,2296370,166349389,19108010,2521908,1695829757.490979
42894318,42,"combatant Rok","[w35z]Kingdom of",50524325,76892108,401210735,17460331,21275175658,21723945,6800534,1695829769.157089
148251200,43,"SUPREME TIGER M","[W35S]White Swords $",50179341,50179341,162022780,1226435,2624918378,9970186,2976136,1695829780.80821
146835009,44,"Santoryu 96","[W35S]White Swords $",50011860,51005946,207073911,1314447,258976481,12655244,3853985,1695829792.47531
153899612,45,"Lauᴳᴱᴴy","[W35T]whiteTiger&BlindCat",49982355,49984755,133473069,1095034,285169506,10487423,1072853,1695829804.159676
146061066,46,"ˢˢdub420","[W35S]White Swords $",49585711,49585711,129723971,1533759,122100386,9199947,1518477,1695829815.843926
146835049,47,"Abawzeer","[W35S]White Swords $",47517398,49409229,155199146,1320449,142967671,8578931,3369156,1695829827.527535
109974849,48,"乂 DARK SOUL","[W35S]White Swords $",45237848,46139330,154508770,3896607,1458600430,9942107,2583890,1695829839.245943
146483021,49,"ˢˢmeimei","-",44351198,45277479,100051109,522712,81815357,7047860,1305414,1695829850.943815
147890353,50,"Karol33","[W35S]White Swords $",43255753,43255753,93182024,798204,308501247,7244311,732176,1695829862.613924
150163038,51,"ˢˢYOLLO","[W35S]White Swords $",42483167,42486307,377281949,1370987,2023455841,30605569,2713654,1695829874.331747
145429339,52,"ˢˢKenzo","[W35S]White Swords $",42377821,43510970,527886106,5567583,491137921,33281646,7992593,1695829886.029479
153950601,53,"Vicktori","[W35S]White Swords $",41786589,41786589,109695407,1088176,169297844,9435144,702813,1695829897.750024
153281001,54,"Atlantidus","-",41604254,41604254,113910883,835433,349552502,6994054,228231,1695829909.467834
150396013,55,"H3R0 JustIceTea","[W35S]White Swords $",41519167,41519167,282220925,990204,150316640,21265638,2763946,1695829921.179106
153891938,56,"Pogback","[W35S]White Swords $",39775556,40169053,80195428,911765,54480000,5114613,447473,1695829932.917588
153221027,57,"ss아노지 ss","[W35S]White Swords $",39549747,39549747,117254997,1033698,566988900,8799824,729371,1695829944.618387
145551158,58,"is doch egal","[W35T]whiteTiger&BlindCat",39376882,39382594,96644907,1704783,52375674,6469754,675317,1695829956.334162
146897142,59,"ˢˢ Ððkê","[W35S]White Swords $",39333435,41408504,253720279,932667,1004291619,17967618,3448635,1695829968.052354
146774971,60,"ᴳᴱᴴ OhMyS","[W35T]whiteTiger&BlindCat",38180524,38197188,93677611,1762366,499562123,7454066,670765,1695829979.738308
154087237,61,"ˢˢAis Stein","[W35S]White Swords $",38158678,38158678,2126217,686130,448800009,16214835,273512,1695829991.435027
153787992,62,"ᴳᴱᴴruteツ","[W35T]whiteTiger&BlindCat",38115929,38135949,94574526,911710,290736292,7721894,655437,1695830003.122127
147153348,63,"35㐅 Duke","-",38078793,38081154,31300311,300623,86302498,1994205,100745,1695830014.772314
146190483,64,"ˢˢ ADØNIS","[W35S]White Swords $",37930339,41991107,18673175,2550071,616090918,14646065,1146113,1695830026.48464
148287341,65,"ˢˢmagical","[W35S]White Swords $",37828093,37850542,137277985,789933,145890872,8722012,2338528,1695830038.190919
148000732,66,"Yezzai","[W35S]White Swords $",37647288,38378930,89634607,736678,1783605252,7213179,719718,1695830049.858465
152924780,67,"ʷᵗMagic","[W35T]whiteTiger&BlindCat",37591204,38399188,16431067,1285224,346162647,11796464,1160744,1695830061.570731
145476116,68,"ˢˢWindメwar","[W35S]White Swords $",36913161,36930601,243352905,2160431,6302857769,20846091,1003727,1695830073.279395
145794607,69,"ˢˢ Vestryn","[W35S]White Swords $",36878186,37568932,11276331,1486167,1169610490,8901313,1087775,1695830084.927132
154026028,70,"ˢˢPureE","[W35S]White Swords $",36625454,36628938,157209027,843836,122282099,12401319,776885,1695830096.675422
146332559,71,"ˢˢ tiggy ッ","[W35S]White Swords $",36407936,38316776,530938175,2900847,592800266,42631126,4561552,1695830108.394945
